	Gene	Slope	P	Q
9	CICP27	0.3929122934862253	0.0014632079779734	0.03697230629375267
58	NOC2L	-0.1498417329911676	0.0005408106038232	0.020249610757144123
60	PLEKHN1	-0.2181435494208322	0.0006455984463196	0.022334924196121424
63	HES4	-0.4457064651587351	0.0064126693520044	0.08752011131615604
71	C1orf159	-0.2094055797438471	0.0005673604344645	0.02074570719242196
81	SDF4	-0.080367390402428	0.000991006694644	0.02883850611620749
88	ACAP3	-0.1613385603098646	0.0001897453537479	0.011055046266601237
91	INTS11	-0.1354405454789287	5.263051409033328e-05	0.0054549921020889975
93	RP5-890O3.9	-0.1694918066140258	0.0028953876735205	0.0548352841941991
96	DVL1	-0.1452085730874304	0.0002581788550198	0.013309254063494733
111	ATAD3B	-0.2121425172295857	0.0017130518499401	0.04034466203275666
118	RP11-345P4.9	-0.1303374115021968	0.0009889332577376	0.02881795221658532
119	MIB2	-0.1814400671893448	0.0011580803468402	0.031849834909168866
120	MMP23B	-0.5448734500694915	0.0001832835475666	0.010822909950711319
123	SLC35E2B	0.1384706961713559	0.0008411864607649	0.02614336462246238
149	PEX10	-0.1406440398974749	0.000268556457786	0.013549939134430049
150	PLCH2	-0.3862207638728681	0.00233364887138	0.04807492799485923
151	RP3-395M20.2	-0.3566397630298353	6.957044439554601e-05	0.0063932462928091415
153	PANK4	-0.1290020910272107	0.0002193109305891	0.012120475454817566
155	RP3-395M20.12	-0.2431265751804922	2.0562361852990203e-05	0.0030754533103518936
157	TNFRSF14	-0.1564361382075774	1.4880832813262829e-05	0.00251509109889054
159	RP3-395M20.9	-0.2107972543188516	0.006338020984945	0.08702632009909425
160	FAM213B	-0.3099719437126281	1.973577859605139e-11	1.657562500177904e-08
161	MMEL1	-0.6916344865822177	8.411820495467989e-15	8.3494200816107e-12
178	RP11-46F15.2	0.2832897918825718	0.0028335564880878	0.0540683382725233
183	RP5-1092A11.2	0.0598824386829282	0.0059587501746668	0.08388346816281846
190	CEP104	-0.1412687517336347	1.053506839441013e-06	0.00035284076919486984
192	C1orf174	-0.1481511117007732	9.346045277239276e-06	0.0018353212366008869
200	AJAP1	-0.5170266908812967	6.361341035731965e-06	0.0013985970136555898
212	RNF207	-0.369191692969298	0.0026926889410134	0.052091532932273
217	ACOT7	-0.2384489172255081	0.0045515328474851	0.07119692871344027
219	ESPN	-0.6887259649512862	6.616667540360736e-07	0.00025084521830789815
235	CAMTA1	-0.1628566835344988	8.685514962653355e-07	0.0003039484825904948
247	PER3	-0.3725028508783713	4.46669689304837e-06	0.0010719772202621239
248	RP3-467L1.4	-0.2466894196451197	0.0007507884484344	0.024460034087456197
252	PARK7	-0.0921393078163391	0.0074389554086261	0.09562219299922677
279	RP3-477M7.6	0.087328178831402	0.0024735161245453	0.04979673469289905
285	GPR157	0.1621660793155651	0.0056500180708067	0.08099941872938009
289	H6PD	0.1921773250886267	0.0014264368051615	0.03638952725209837
315	KIF1B	0.2715904756457785	6.110001417600795e-05	0.0059794127765986005
323	PEX14	-0.1738462804192043	0.0002833636851879	0.013912003889134321
325	CASZ1	-0.1880144808146472	0.0009577820150529	0.028293958747709912
326	RP4-734G22.3	-0.3475819183384961	6.782952962779075e-05	0.006279846425708068
334	EXOSC10	-0.1206869991217076	0.0063112104750578	0.08680774506432018
375	TNFRSF1B	-0.1725310586617655	0.0010919246415047	0.030707062543676913
450	RP3-467K16.4	0.2877265941441572	0.0035609787768166	0.06185320829845218
452	CTRC	0.2055676458784422	0.0046490289123607	0.07204081362009519
466	PLEKHM2	-0.1145025862547709	0.0001119310170576	0.008125715536181514
478	ZBTB17	-0.1427878489665802	5.007001233175393e-06	0.0011552154390866037
493	ANO7L1	-0.3513437872926926	0.0001650480356871	0.010155498156322775
496	FBXO42	-0.07938212421663	0.0019479481511542	0.04340505529298371
497	SZRD1	-0.0819795895525263	0.0036862347995417	0.06316350601901459
498	RP11-430L17.1	-0.1932216915738875	0.0049958043323103	0.07513746193988496
518	EIF1AXP1	0.3762646384830141	8.3682088582748e-07	0.000300005769292609
537	ATP13A2	-0.1054557541198972	0.0059764742917154	0.08397550699426458
582	NBL1	-0.2683841809857252	0.0007356498405673	0.02409153934988005
610	DDOST	-0.1348740807976664	4.428629997412664e-06	0.0010697688885785493
633	ALPL	0.477655313646241	0.0017460775852067	0.04073010936424422
638	LDLRAD2	-0.3430356074063372	0.0001781468414	0.010605662339922356
675	LUZP1	-0.1737610280769683	0.0020737445092831	0.04499999550576746
681	LINC01355	0.2448103653319706	0.0040642981106663	0.06672006190170333
695	ELOA	-0.0875683627431421	0.0003613497276428	0.015883095274940206
719	NIPAL3	-0.1416517390026534	0.0051775527851298	0.0768287473894553
727	RUNX3	-0.3674095529328847	0.0050182596336811	0.07538712986293854
742	TMEM50A	0.1430650984685926	0.0036074055613899	0.0622819368777348
752	MTFR1L	-0.0597533595642843	0.00220256550112	0.046479495878292636
779	SH3BGRL3	-0.1418169435758199	0.0059954956359795	0.08411876066805266
780	UBXN11	-0.1996941869483605	6.952383504326535e-06	0.001476826927113596
781	CD52	-0.1934022776410625	0.0074303509906249	0.09555772830306059
790	DPPA2P2	0.3544019057794564	0.0048982640498805	0.07438276245092526
799	ARID1A	0.1394874361248173	0.0012024311423485	0.032513915824948454
885	TAF12	0.1503912513257458	0.0035865764436508	0.062099074282202495
934	SERINC2	-0.2894378600992983	0.0009973776132135	0.028931370170324863
949	SPOCD1	0.3683764386465964	0.0033272607675028	0.05957422755641616
956	TMEM39B	-0.1274280720243214	2.425826142249956e-06	0.0006826324781325237
958	KPNA6	-0.0557496082653439	0.0076889486953195	0.09727811985512912
965	EIF3I	-0.1492776960629621	6.464169210151075e-05	0.00618024387951957
970	MARCKSL1	-0.2472183748775521	0.0003838050987941	0.016459299256376677
987	S100PBP	0.0863113386071618	0.0016428128682253	0.03945641887468349
995	AK2	-0.0992123201020204	0.0025715806632639	0.050850048187929243
999	TRIM62	-0.1371882792133451	0.0003274457460304	0.015077323357325666
1002	RP11-415J8.7	-0.2355258422142193	0.0076987141862448	0.09737910214445693
1004	RP11-415J8.3	0.3058416566877472	0.0028290701766139	0.05402049635596573
1042	NCDN	-0.1548087771015674	0.0001857340946803	0.010914527122483248
1044	TFAP2E	-0.1162527381376709	0.0054366641482386	0.0789357364842132
1045	PSMB2	-0.1217157362930485	8.038777241833565e-05	0.0068859270946079396
1049	AGO4	0.3041485777467333	8.867478307332392e-05	0.007323651675550528
1052	AGO3	0.1085189305193241	0.0007490093462945	0.024455692723031906
1084	MEAF6	-0.1012624877903284	0.0016798308904306	0.0398545536594469
1100	MTF1	0.1429903881462789	0.0068076815988038	0.09071148495042643
1117	RRAGC	0.1364841831539616	0.003357416287181	0.059878493939818735
1134	RP11-69E11.4	-0.1971836216094716	0.0062672667564161	0.08650888160967579
1136	PABPC4	-0.1609175241855013	0.0008236150623841	0.025851953923528667
1155	CAP1	0.1726233787782187	0.0072206149232466	0.0938765920194995
1156	PPT1	0.2407915381397948	0.0020290871512625	0.04437977794940801
1161	RP1-39G22.7	0.2551317586456401	7.784952273214955e-05	0.006724622064863146
1162	ZMPSTE24	0.2617352598720254	0.0025799226629737	0.05088263656685702
1167	RP1-228H13.2	0.3373657567781736	7.921043805446977e-06	0.00163179480538476
1169	RP1-228H13.5	0.2452131607232594	0.0006394916058731	0.022248087371206902
1170	RP11-656D10.7	0.3198031772616733	0.0037374268831445	0.06356187177714161
1171	ZFP69	0.1781924713731029	0.0010740020487349	0.030409877639022885
1173	EXO5	0.1328707820516204	0.0053423340058889	0.07806442667277486
1220	PPIH	-0.1435475750912558	0.0066870286641108	0.08978314531016644
1222	YBX1	-0.2948316985162352	6.202390086489828e-06	0.0013708537635694442
1224	P3H1	-0.1248614210773967	1.8981972591033714e-05	0.002942986307311188
1273	RP5-1198O20.4	-0.3620705097330012	0.0032331820480607	0.05858143855550274
1284	DMAP1	-0.0924647177378076	0.0004717044057491	0.018687436080301066
1288	RNF220	-0.0908006472330593	0.0010769751224152	0.03044782275276117
1297	SNORD46	-0.2271861508191551	0.0065492426461569	0.0886966644849907
1301	PLK3	-0.2014470402307218	0.0025069987935056	0.050180031040800425
1311	HECTD3	-0.1131987832230305	0.0004483898253603	0.01821107348634083
1331	CCDC17	0.2312222245792416	0.0055688197280484	0.08023568397825766
1332	GPBP1L1	0.1174904509538974	0.000257093609313	0.013265835840846217
1336	IPP	0.2025988691674403	0.0014669910110566	0.03702541529154041
1341	PIK3R3	-0.2486455516030243	0.000288272931683	0.014029186582822173
1350	LRRC41	-0.1539941487439358	2.696776034847807e-05	0.0036441187449111753
1361	MKNK1	0.2629175871485459	0.0064657108342294	0.08798008122189716
1405	SLC5A9	0.4607627540641603	0.0074369481799899	0.09561890603909766
1427	RP11-183G22.1	-0.2422882660690168	0.0037471327751097	0.06362782969169167
1452	RNU6-1281P	0.0154452834055803	0.0054324302893425	0.07889524723484591
1454	OSBPL9	0.2392341249236674	0.000187733336724	0.010972953231730843
1468	KTI12	0.1755018989614493	0.0042265176700365	0.06828471519462344
1480	CC2D1B	-0.0998161035759324	0.000135241944922	0.009053848295514533
1489	FAM159A	-0.1907881461208435	0.0023994037765696	0.048821562046398655
1534	YIPF1	0.2195974647632232	0.0069336522177689	0.09168028580208977
1542	TCEANC2	0.1554383212669758	0.0070663511350371	0.09276308326100521
1544	RP4-758J24.4	0.0890844299631501	0.0040713360272545	0.06676550808046791
1548	MRPL37	-0.1438636321246674	0.0013639364515625	0.03538974275841254
1549	SSBP3	-0.2244005393930999	0.0024689490030146	0.04977284489386006
1561	PARS2	0.2882782204848332	0.0045287143396491	0.07100274934811134
1569	BSND	0.6829889682368936	7.266779062888812e-05	0.006535551937417233
1583	RP1-158P9.1	0.0426443740370366	0.0010173126523352	0.02935376967291038
1606	OMA1	0.1570070648783339	0.0038220953461615	0.06434037284540506
1617	RP4-794H19.1	0.2511881733623641	0.0063840591034261	0.08732612241900217
1654	USP1	0.2190328618732439	0.0009005270879665	0.027236329521477656
1672	FOXD3-AS1	0.3233274746235342	0.0024920233617991	0.050072751678990904
1676	ALG6	0.1327915124770613	0.0063492388340195	0.0870861426478827
1677	ITGB3BP	0.2593185480773285	8.326679296512935e-05	0.007080530781234176
1678	EFCAB7	0.242088469669657	0.0026187658974299	0.0513703441870259
1681	DLEU2L	0.2880007196143866	0.0037336277542669	0.06355665929558423
