	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RP11-34P13.7	14.223276615619438	0.4815295041252417	0.1457699950892443	3.303351309235049	0.0009553661930288	0.0118704524476347
CICP27	111.23434770027436	0.2473044848798585	0.1076517536752643	2.2972638757549837	0.021603721217062	0.0897473805966475
RP11-34P13.14	75.681804937412	0.2078348908578174	0.0870371404587781	2.3878873979809865	0.0169455328056062	0.0770556668811742
MTCO2P12	114.15195878876835	-0.2728878506230508	0.0941150826020142	-2.8995124169100013	0.0037374354146764	0.0288384600766809
MTATP6P1	9797.860801852874	-0.2831358906446169	0.0707259681918539	-4.003280518925832	6.247015595127504e-05	0.0019750176080231
RP11-206L10.9	17.45137729472532	0.1671942007558937	0.0653717216146945	2.557592130452797	0.0105399634215299	0.0563008444288902
NOC2L	1180.5038844266055	-0.1592316491949094	0.0423494527990759	-3.7599458474793774	0.000169950141264	0.0038096788809245
PLEKHN1	40.07609136157004	-0.215306286310414	0.0607114859672248	-3.5463847224336997	0.0003905555743109	0.0065111876204021
RP11-54O7.17	14.258673644228626	-0.4043843907070214	0.1582119123540024	-2.555966770708156	0.0105893230636406	0.056506216702539
HES4	112.63004708519512	-0.8480116969076401	0.148055992147251	-5.72764185095757	1.0183627641720556e-08	2.487399087469688e-06
RP11-465B22.3	22.26695367143985	-0.1943190637519987	0.0761600965033785	-2.551455062079372	0.0107274157116414	0.0569379910188827
C1orf159	403.9290130387223	-0.2225825290833183	0.0584973747612598	-3.8050003097014975	0.000141804013292	0.0033838227724828
TTLL10	4.389379402181507	-0.4034657541436178	0.1097124273742012	-3.677484527504789	0.0002355453586334	0.0046707444565491
TNFRSF4	305.3416394794701	-0.3120442263145794	0.1091710480216771	-2.858305676910049	0.0042590988626845	0.0314524611106006
SDF4	3737.403557077358	-0.0843980608627661	0.0242830051672679	-3.4756019809496137	0.0005097081546841	0.0077949520572514
LINC01786	9.893194945795845	-0.2150152580311269	0.0848790155300426	-2.5331968883996194	0.0113027446715356	0.0590456364277951
SCNN1D	186.53090323051592	-0.2217084621845617	0.0758068121435276	-2.9246509108547336	0.003448428284517	0.0273707102128847
ACAP3	2007.0967718394	-0.1808215058108928	0.0423908208567342	-4.265581608386513	1.993821160114686e-05	0.000923470906199
PUSL1	269.3528397061557	-0.1153807675426203	0.0406916113717163	-2.835492713439669	0.0045755058808565	0.032993751366388
INTS11	3026.707549591381	-0.1399842561454103	0.03318471577775	-4.2183352445425575	2.461127070488254e-05	0.0010727447976769
RP5-890O3.9	34.00486753542531	-0.1881824840986181	0.0517174724876341	-3.638663589826693	0.0002740565181241	0.0051783731667979
DVL1	970.4236101716476	-0.1501607412139262	0.0391451401246479	-3.835999583493044	0.0001250546191511	0.0031173691795766
MXRA8	88.72840485610415	-0.2289508361057901	0.0733744426522891	-3.1203076688535147	0.0018066223341441	0.0179146912498372
ATAD3C	21.47995602839089	-0.1967806116412987	0.0853011622349008	-2.306892502817344	0.02106081359129	0.0882910499825276
ATAD3B	660.8354294361257	-0.2170460107174869	0.0641391274580805	-3.383987580113901	0.0007144123474449	0.0097061444115626
ATAD3A	432.1992103069265	-0.1424569795029941	0.0527824057825521	-2.6989482080425526	0.0069559000688592	0.0431593396619181
RP11-345P4.9	127.97605352454356	-0.1195312379661381	0.03831734580695	-3.119507247927844	0.001811538039983	0.0179375738092876
MIB2	1980.9034847572184	-0.2148321115970584	0.0540343122396873	-3.975846137248839	7.012945836461657e-05	0.0021186952234752
MMP23B	30.909367749694976	-0.4293966147080506	0.132333049748973	-3.244817643986799	0.001175258591496	0.0135058234320566
SLC35E2B	2565.199246974757	0.1236060242521855	0.0408025644589891	3.029369008813708	0.0024506515135154	0.0218265628952282
NADK	15579.52869269275	0.1696385548391449	0.0613181482034697	2.766530950612527	0.0056656206524934	0.0381405575438659
RP5-892K4.1	32.38485373297281	0.289366263261548	0.098088532473714	2.950051917017853	0.0031772053544576	0.0259416662984116
PEX10	133.3217752526246	-0.1331679511646039	0.0377400148640638	-3.528561174240735	0.0004178253618797	0.0068080027969973
PLCH2	897.1616299037192	-0.4210276747839205	0.108014761580216	-3.897871629992432	9.704183143231264e-05	0.0026615572644216
RP3-395M20.2	3.029467025194274	-0.4059597938796381	0.1240068528708952	-3.273688384804725	0.0010615360500805	0.0126669365009982
PANK4	1178.5120873310243	-0.1467876876946179	0.0342496967426369	-4.285809851036848	1.8207467672079645e-05	0.0008713669972233
RP3-395M20.12	234.4449230679224	-0.2654772742803966	0.0551629024544052	-4.812605255856984	1.4897536507036213e-06	0.0001479610661558
RP3-395M20.8	491.1238169396847	-0.1807941259886567	0.0625707787987252	-2.8894338453134294	0.0038593620293969	0.0294149962623242
TNFRSF14	6132.064472827908	-0.1552685260746042	0.0352617751825725	-4.4033099658392345	1.0661167214837276e-05	0.0006093339522281
RP3-395M20.9	22.95933471581201	-0.22152869836272	0.0661351387741973	-3.349636856725696	0.0008091757049579	0.0105809940288211
FAM213B	436.0974428763273	-0.3607750885463061	0.0463480711700419	-7.784036734186696	7.024634711170683e-15	3.4975926405176948e-12
MMEL1	12.576822410375756	-0.6763208558502659	0.0837271923795756	-8.077672696633352	6.601450376733294e-16	3.3513363079216026e-13
SMIM1	1050.5745769188782	-0.5157798066124467	0.1326702204303841	-3.887683347018263	0.0001012055359422	0.0027476742903166
CEP104	544.4346110099227	-0.1412560206840697	0.0286613064862601	-4.928457143144751	8.288150970832059e-07	9.249505033871242e-05
C1orf174	535.8026326627667	-0.1569573738501145	0.0337028989051051	-4.657088231254182	3.207130217283047e-06	0.0002594869014239
AJAP1	5.584402452924086	-0.6634759060529495	0.1480716874306059	-4.480774937908967	7.437250556583881e-06	0.0004711962438522
CHD5	17.330940167487654	-0.2917160851952952	0.1029740715004287	-2.832908138376179	0.0046126639505069	0.033155603093441
RPL22	4425.396732671376	-0.1589173200448539	0.0529908783374866	-2.9989561417107717	0.0027090630074729	0.0232869688998944
RNF207	46.63409340212274	-0.293885906858032	0.1100892161081257	-2.6695249293935164	0.0075958634200197	0.0454801703437553
ACOT7	299.81843848480634	-0.2280985415752211	0.0778437988686234	-2.930208248959969	0.0033873491121458	0.0270184398837236
ESPN	452.17773870599706	-0.8841640597512298	0.1251742851843434	-7.063464020977845	1.6240226524384954e-12	6.569932889732045e-10
TNFRSF25	697.9206412284444	-0.2546382537058608	0.0810228766029222	-3.142794533867201	0.0016734326014168	0.0170443916141954
PLEKHG5	72.74154405051746	-0.2632974378177274	0.0846838809564098	-3.1091801042190914	0.0018760731912761	0.0183226748379216
KLHL21	5104.207268671935	0.1629939841480343	0.0652067747099142	2.499648002422241	0.0124316759210138	0.0627057317886166
PHF13	640.3606132451787	-0.1352939308700465	0.0597953737711959	-2.262615355290562	0.0236594107312485	0.095408537818471
DNAJC11	339.5920140176946	-0.1025545360883296	0.0380953609854332	-2.692047888128528	0.0071014747559561	0.043725156458136
CAMTA1	329.4606044387306	-0.149906145065202	0.0329098418381652	-4.555055165636118	5.2371832285818415e-06	0.0003745743396994
PER3	61.20787286522173	-0.372672437989247	0.074642994842193	-4.992731585557821	5.953126521289138e-07	7.110445793735218e-05
RP3-467L1.4	1.5541511607343603	-0.4638342128330013	0.1336577362806195	-3.470313247406521	0.000519851707714	0.0078664410078459
TNFRSF9	295.17036920088384	-0.1914648364013282	0.0746259596342232	-2.5656599572023877	0.0102979727537572	0.055350801861642
PARK7	2988.050319238045	-0.093304972441999	0.0341536234604645	-2.7319201592184448	0.0062966397777008	0.0405965974752355
SLC45A1	18.941712057250044	-0.2010421431228266	0.0812078169644795	-2.475650136128679	0.0132993831767035	0.0656750581400022
RERE	5098.357464111475	0.1700168312966045	0.0598477470008389	2.8408225842523565	0.0044997338031069	0.0325699211339784
RP5-1115A15.1	81.30523075584925	0.2486253765858668	0.0999643196873482	2.4871411856097843	0.0128774282438243	0.0642283750069075
GPR157	99.00867046808132	0.2136819300605401	0.0584634788209944	3.6549643361935216	0.0002572177316047	0.004969868872372
H6PD	3068.738988607168	0.1498257428412381	0.0582756312712204	2.5709844676574063	0.0101409875091359	0.0548239853447224
PIK3CD	16710.24565950728	0.1616889612099462	0.056744178360561	2.8494369974405167	0.0043796678918646	0.0319960444097817
CLSTN1	1652.6062165010112	-0.1488051304343559	0.0637898735704738	-2.3327390713505465	0.0196618442161639	0.0845690792868042
KIF1B	3289.8453726346784	0.2506701990728158	0.0641327536864364	3.908614314277144	9.282702141389466e-05	0.0025759747174996
CORT	18.38523145664123	-0.3018413423186845	0.0992164554628546	-3.042250813240248	0.0023481614726657	0.0211907454474688
PEX14	531.37066619592	-0.1675407212337625	0.0464990692288902	-3.603098384809561	0.000314446439938	0.0056296450618207
CASZ1	245.916739303754	-0.204842138368895	0.0560214520340009	-3.656494627175507	0.0002556877678999	0.0049476920767541
RP4-734G22.3	113.52965806956615	-0.3222686016427656	0.0825184531393855	-3.905412539646222	9.406477521767464e-05	0.0025991793971833
C1orf127	11.737704293631449	-0.2657338159110545	0.096786296622717	-2.7455727224166093	0.0060405378134983	0.0395938138048823
SRM	861.4244258914287	-0.1191678267514233	0.0463640633994779	-2.570262785741191	0.0101621396333593	0.054871315380043
EXOSC10	1255.9544800854812	-0.1161735624587939	0.0427748834963401	-2.715929371700892	0.0066090015477426	0.0416537631627565
DISP3	11.78031899232565	-0.3226969593047996	0.1092086136646945	-2.9548672808500496	0.0031280358233552	0.0256778616051019
C1orf167	3.544139375154521	0.4482625429366084	0.1339740490099948	3.34589083668858	0.0008201867896081	0.0106657238421625
MTHFR	1302.560692609892	-0.0864674196445008	0.0320696568832259	-2.6962377539414164	0.0070127592717927	0.0434151165923034
CLCN6	627.928714875674	-0.1168249180827256	0.0434865527914306	-2.686460769678368	0.0072213427731375	0.0441667174629181
NPPA	74.47871973095178	-0.4548164783993952	0.1193165445033589	-3.811847554691724	0.0001379319393597	0.0033282347082604
TNFRSF8	528.3194756271178	-0.1558727989767744	0.059257609620495	-2.6304267076420094	0.0085277755461398	0.0490541294523679
TNFRSF1B	55482.230956612046	-0.1902963950948872	0.0522824856068911	-3.63977329857104	0.000272878178086	0.0051683166853152
DHRS3	966.0211250969196	-0.2126250160168292	0.0925508635262676	-2.2973855447224687	0.0215967856541969	0.0897387862899716
PRDM2	2059.2769015105714	0.1141419480658146	0.0439033478084673	2.5998461111387265	0.0093265574192078	0.0520866907119739
RP3-467K16.4	73.89598519183534	0.2406381462665348	0.0864529909588497	2.7834565767779496	0.0053783061262415	0.0367607507694089
